1,1,28.9
1,2,30.72
1,3,29.82
1,4,29.92
1,5,29.89
1,6,31.3
1,7,29.75
1,8,29.6
1,9,30.18
1,10,29.92
1,11,31.1
1,12,30.22
1,13,30.5
1,14,29.96
1,15,30.06
1,16,29.4
1,17,30.8
1,18,29.92
1,19,28.64
1,20,29.74
1,21,30.06
1,22,29.62
1,23,30.6
1,24,29.73
1,25,32.64
1,26,29.9
1,27,29.14
1,28,30.02
1,29,29.96
1,30,29.58
1,31,29.93
2,1,30.3
2,2,29.62
2,3,29.36
2,4,29.2
2,5,30.4
2,6,29.7
2,7,29.44
2,8,30.82
2,9,29.73
2,10,28.56
2,11,28.4
2,12,29.12
2,13,28.54
2,14,29.6
2,15,28.98
2,16,30.04
2,17,29.03
2,18,29.44
2,19,30.03
2,20,29.3
2,21,28.66
2,22,30.02
2,23,28.72
2,24,28.92
2,25,28.52
2,26,28.63
2,27,29.0
2,28,28.72
2,29,28.64
3,1,28.33
3,2,27.5
3,3,28.2
3,4,28.6
3,5,28.82
3,6,28.0
3,7,28.32
3,8,28.69
3,9,28.82
3,10,28.39
3,11,27.56
3,12,28.49
3,13,27.92
3,14,28.24
3,15,27.9
3,16,27.6
3,17,27.72
3,18,27.72
3,19,28.3
3,20,28.86
3,21,27.73
3,22,27.66
3,23,28.4
3,24,27.63
3,25,27.52
3,26,27.8
3,27,27.82
3,28,27.82
3,29,27.5
3,30,28.96
3,31,27.7
4,1,27.2
4,2,26.7
4,3,27.34
4,4,26.56
4,5,27.22
4,6,26.83
4,7,27.04
4,8,25.9
4,9,26.46
4,10,26.72
4,11,27.12
4,12,26.16
4,13,25.4
4,14,25.92
4,15,26.12
4,16,25.6
4,17,25.5
4,18,25.64
4,19,25.72
4,20,25.52
4,21,25.32
4,22,25.44
4,23,25.33
4,24,26.04
4,25,25.54
4,26,24.82
4,27,25.22
4,28,24.24
4,29,25.26
4,30,24.6
5,1,24.68
5,2,24.22
5,3,24.02
5,4,23.92
5,5,23.4
5,6,24.2
5,7,23.8
5,8,23.12
5,9,23.32
5,10,23.54
5,11,23.4
5,12,23.7
5,13,23.13
5,14,23.32
5,15,22.7
5,16,22.9
5,17,22.34
5,18,22.16
5,19,22.2
